trial_index,arm_name,trial_status,generation_method,rmse_USA_UMB_CON_Aru_Js_28_sapflux,rmse_USA_UMB_CON_Aru_Js_28_wwc,groups_maple_kmax,groups_maple_bp,groups_maple_wp_s50,groups_maple_c3,groups_site_parameters_Soil_depth,groups_site_parameters_sand_d,groups_site_parameters_clay_d,groups_site_parameters_initial_swc_clay,groups_site_parameters_initial_swc_sand,groups_site_parameters_soil_moisture_bottom_boundary,groups_site_parameters_alpha_1,groups_site_parameters_theta_S1,groups_site_parameters_theta_R1,groups_site_parameters_n_1,groups_site_parameters_Ksat_1,groups_site_parameters_alpha_2,groups_site_parameters_theta_S2,groups_site_parameters_theta_R2,groups_site_parameters_n_2,groups_site_parameters_Ksat_2,groups_site_parameters_sum_LAI_plot,groups_site_parameters_Cd,groups_site_parameters_alpha_ml,groups_maple_Root_depth,groups_maple_theta_1_clay,groups_maple_theta_2_clay,groups_maple_theta_1_sand,groups_maple_theta_2_sand,groups_maple_Kr,groups_maple_qz,groups_maple_Ksax,groups_maple_Aind_r,groups_maple_ap,groups_maple_Phi_0,groups_maple_p,groups_maple_sat_xylem,groups_maple_taper_top,groups_maple_stand_density_sp,groups_maple_LAI,groups_maple_Cf,groups_maple_x,groups_maple_Vcmax25,groups_maple_m,groups_maple_alpha_p,model_trees_USA_UMB_CON_Aru_Js_28_scale_nhl,model_trees_USA_UMB_CON_Aru_Js_28_Hspec,model_trees_USA_UMB_CON_Aru_Js_28_dbh,model_trees_USA_UMB_CON_Aru_Js_28_mean_crown_area_sp,model_trees_USA_UMB_CON_Aru_Js_28_sapwood_depth
0,0_0,COMPLETED,Sobol,0.6864843351335489,1.2003732308579642,1.6343722581863406e-05,-1076031.669974327,-431533.67042541504,7.823663824796676,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
1,1_0,COMPLETED,Sobol,0.7372864297895166,0.9488127739646751,8.387211621180178e-05,-12860502.407653257,-1403356.8977378309,15.59120563501492,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
2,2_0,COMPLETED,Sobol,0.7122593559130006,0.9567335545750728,7.332403901219368e-05,-5932161.054527387,-601881.8134441972,1.9377347453497349,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
3,3_0,COMPLETED,Sobol,0.7489901797708599,1.0397563092048538,2.9961014282889667e-05,-10781497.461441904,-1529883.846733719,14.06807685634121,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
4,4_0,COMPLETED,Sobol,0.7414662670446648,0.9791063917955073,5.021878890041262e-05,-5319830.931862816,-1207683.51983279,12.415497031342237,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
5,5_0,COMPLETED,Sobol,0.677927112376019,1.0183353408630633,5.616075790300966e-05,-8384453.905094415,-263561.0860772431,4.645801186095922,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
6,6_0,COMPLETED,Sobol,0.7369410038123365,0.9469854044551504,8.914455106854439e-05,-3239918.3965288103,-1955777.933448553,18.335396776814015,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
7,7_0,COMPLETED,Sobol,0.7443802509081439,1.2158480060703627,7.978305113501847e-06,-13241487.919120118,-999841.5875248611,6.20297656180337,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
8,8_0,COMPLETED,Sobol,0.8198370207083532,1.2487581763399467,3.2952026817947627e-06,-7274343.24841015,-1865102.9064320028,3.264526099245995,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
9,9_0,COMPLETED,Sobol,0.7365552237236783,0.9451623817515351,9.537442228477449e-05,-10256528.40686962,-923024.3768543005,11.031735810916869,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
10,10_0,COMPLETED,Sobol,0.7050648660699046,0.9670022567758088,8.792135252151639e-05,-12807985.810842365,-463216.5244780481,1.1603971113450826,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
11,11_0,COMPLETED,Sobol,0.7664381201796999,1.1220471752584027,2.047534826397896e-05,-1019718.3124255389,-1885348.6607782543,13.696241186000405,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
12,12_0,COMPLETED,Sobol,0.7915161804312923,1.188345595766163,9.539465818554165e-06,-14733064.809115604,-1487952.45885849,10.615970095060765,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
13,13_0,COMPLETED,Sobol,0.7317562680579075,0.951148788293871,7.700921366084368e-05,-2915794.095955789,-1016578.6225348711,2.9020095192827284,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
14,14_0,COMPLETED,Sobol,0.7391048406648497,0.960556542155519,6.470910949446262e-05,-10963128.098426387,-1737798.205204308,17.19739367077127,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
15,15_0,COMPLETED,Sobol,0.6808189302879617,1.0178245299379365,4.669059860613197e-05,-6567215.688060969,-314043.5388311744,9.485939207486807,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
16,16_0,COMPLETED,Sobol,0.7417495630436802,0.9814537346267813,4.892522186227143e-05,-10491845.794999972,-1263551.8955998123,14.256586122140288,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
17,17_0,COMPLETED,Sobol,0.7178972353175355,0.9626246662397927,6.653355199750513e-05,-6095934.767648578,-788172.6889871061,1.7571029371581972,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
18,18_0,COMPLETED,Sobol,0.7376744452339264,0.9510388523337474,7.883824094757439e-05,-14261550.657218322,-1966026.9574262202,18.341101443674415,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
19,19_0,COMPLETED,Sobol,0.6972346715339826,1.2831660524836463,2.674714638851583e-06,-10547025.883197784,-518890.9899443388,8.334094084240496,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
20,20_0,COMPLETED,MOO,0.6794873930815796,0.9647057153935893,7.69197141104853e-05,-9387302.93397179,-268567.86470312136,6.328480796316152,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
21,21_0,COMPLETED,MOO,0.6921871267733006,0.9572063264069565,7.594148656263496e-05,-3995726.7460734174,-312859.2722343991,10.473923094614028,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
22,22_0,COMPLETED,MOO,0.6784547861666432,1.0407958446796377,7.612361117344229e-05,-11946996.411780218,-100000.0,12.60854062091497,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
23,23_0,COMPLETED,MOO,0.675936248157598,1.0597304144885358,6.642274581736335e-05,-3863261.6195746213,-100000.0,7.900350291492856,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
24,24_0,COMPLETED,MOO,0.6911658028694597,0.96438182571776,7.191226239626758e-05,-2866195.853253646,-305071.08830808825,17.602645651585934,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
25,25_0,COMPLETED,MOO,0.6711699128375425,1.0282457341936608,9.731931640343323e-05,-6516916.70091561,-100000.0,4.023289669034023,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
26,26_0,COMPLETED,MOO,0.7346364990912451,0.948943817780167,8.262228521353158e-05,-8123228.294767017,-725668.3865779997,5.562576669092793,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
27,27_0,COMPLETED,MOO,0.6794415575403022,1.0117009679552935,0.0001,-2962813.597970085,-100000.0,14.745334127923543,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
28,28_0,COMPLETED,MOO,0.6770408900511244,1.0142653047502708,0.0001,-15000000.0,-100000.0,8.205389530682304,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
29,29_0,COMPLETED,MOO,0.7363525736867677,0.9442604008457764,9.92890182734864e-05,-9203921.719240837,-2000000.0,8.643828693750029,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
30,30_0,COMPLETED,MOO,0.737726955281994,0.9538373566700817,7.370919358026245e-05,-4557566.065733377,-564251.1361805717,15.834449390560449,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
31,31_0,COMPLETED,MOO,0.7401559525548678,0.9671941903051824,8.282756198861028e-05,-584442.6832514014,-674521.609197563,20.0,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
32,32_0,COMPLETED,MOO,0.6655688375989466,1.028618429912584,8.085322500597581e-05,-9967451.26315049,-158271.26269635512,5.067902592802318,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
33,33_0,COMPLETED,MOO,0.726483482202664,0.9554523796248046,7.12505750986993e-05,-7135226.653810083,-439504.96225465904,12.732986549743957,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
34,34_0,COMPLETED,MOO,0.7389377034147108,0.9594825005954606,6.59314266132643e-05,-7964786.831105089,-637480.6742403249,20.0,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
35,35_0,COMPLETED,MOO,0.7392480614855191,1.0189399822345004,7.21818671647914e-05,-150000.0,-612411.3178529434,14.756925531857501,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
36,36_0,COMPLETED,MOO,0.7435412261437665,0.9912333542649513,8.941434262792513e-05,-150000.0,-1046309.7333077694,20.0,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
37,37_0,COMPLETED,MOO,0.7362289858436408,0.9456876883196604,9.317230624613675e-05,-5748406.721351763,-502646.4874928561,19.993269860901457,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
38,38_0,COMPLETED,MOO,0.6987820007923622,0.9512633365568718,7.927596441850907e-05,-9237626.595484802,-342094.822453863,7.410316800005656,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
39,39_0,COMPLETED,MOO,0.7354995293205832,0.9483482111762078,8.47015547179583e-05,-11563721.73356489,-474344.0103068638,20.0,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
40,40_0,COMPLETED,MOO,0.7165904343025754,0.9483622835337129,8.198194135415019e-05,-8457758.646345053,-403634.38183323084,9.098005175810124,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
41,41_0,COMPLETED,MOO,0.6694584960564428,0.9800549458550313,8.39470780325381e-05,-9259820.53098964,-212176.09725450538,5.558752695971476,6.0,6.0,1.0,0.28,0.08,0.28,0.8,0.55,0.03,1.5,1.94e-07,14.5,0.47,0.045,2.4,3.45e-05,4.03,0.1,0.1,0.6,0.08,0.12,0.05,0.09,7.2e-10,9,1e-05,1,2e-06,574000000.0,20,0.573,1.0,160.9195402,0.779051285,0.85,1.0,50.0,4.0,0.8,0.7854047094285671,17.5,10.2,34.16,2.669080975
